model,model_type,pair_id,category,phenomenon,good_sentence,bad_sentence,good_score,bad_score,score_difference,correct,time_taken
mistral:latest,mlm,22,island_effects,adjunct_island,Who had Jesus bothered after leaving Lori?,Who had Jesus bothered Lori after leaving?,0.75,-1.5,2.25,True,0.9259049892425537
mistral:latest,mlm,23,island_effects,adjunct_island,Who are a lot of hamsters disgusting while finding Ronald?,Who are a lot of hamsters disgusting Ronald while finding?,-1.5,-1.5,0.0,False,0.7430002689361572
mistral:latest,mlm,24,island_effects,adjunct_island,Who could Amelia leave while appreciating Paul?,Who could Amelia leave Paul while appreciating?,0.0,-1.0,1.0,True,0.7401349544525146
mistral:latest,mlm,25,island_effects,adjunct_island,What have many ladies dropped by without talking about all malls?,What have many ladies dropped by all malls without talking about?,-1.0,0.75,-1.75,False,0.8487977981567383
mistral:latest,mlm,26,island_effects,adjunct_island,What is Larry dropping by after lifting a grocery store?,What is Larry dropping by a grocery store after lifting?,0.75,1.25,-0.5,False,0.9497809410095215
mistral:latest,mlm,27,island_effects,adjunct_island,Who is that student hugging before stunning Catherine?,Who is that student hugging Catherine before stunning?,2.0,1.75,0.25,True,1.0015358924865723
mistral:latest,mlm,28,island_effects,adjunct_island,Who were those schools appreciating without scaring Alice?,Who were those schools appreciating Alice without scaring?,-2.5,-1.5,-1.0,False,1.0126161575317383
mistral:latest,mlm,29,island_effects,adjunct_island,What did Dan sell after revealing some plane?,What did Dan sell some plane after revealing?,1.25,0.0,1.25,True,0.8549387454986572
mistral:latest,mlm,30,island_effects,adjunct_island,What had Marcus climbed down before buying many mountains?,What had Marcus climbed down many mountains before buying?,-1.0,-1.0,0.0,False,0.7978208065032959
mistral:latest,mlm,31,island_effects,adjunct_island,What has Jacqueline scanned before revealing that report?,What has Jacqueline scanned that report before revealing?,1.75,1.25,0.5,True,0.9642868041992188
mistral:latest,mlm,32,island_effects,adjunct_island,Who is Tanya returning to while astounding Donald?,Who is Tanya returning to Donald while astounding?,1.25,-1.0,2.25,True,0.9104812145233154
mistral:latest,mlm,33,island_effects,adjunct_island,Who had Kirsten referenced without boring Liam?,Who had Kirsten referenced Liam without boring?,1.25,-1.0,2.25,True,0.9058890342712402
mistral:latest,mlm,34,island_effects,adjunct_island,What are some drivers touring after going to every hill?,What are some drivers touring every hill after going to?,0.5,-0.5,1.0,True,1.0310828685760498
mistral:latest,mlm,35,island_effects,adjunct_island,Who would Mark visit while kissing Marla?,Who would Mark visit Marla while kissing?,-1.5,-1.5,0.0,False,0.9209470748901367
mistral:latest,mlm,36,island_effects,adjunct_island,What is Scott cleaning after cleaning a pie?,What is Scott cleaning a pie after cleaning?,0.75,-1.5,2.25,True,1.0252032279968262
mistral:latest,mlm,37,island_effects,adjunct_island,Who has some doctor listened to after firing that actress?,Who has some doctor listened to that actress after firing?,-1.5,-1.5,0.0,False,0.9234919548034668
mistral:latest,mlm,38,island_effects,adjunct_island,Who has that lady approached after alarming Ellen?,Who has that lady approached Ellen after alarming?,1.5,0.0,1.5,True,0.751518964767456
mistral:latest,mlm,39,island_effects,adjunct_island,What can Randolf bike to before discussing the lakes?,What can Randolf bike to the lakes before discussing?,1.5,1.25,0.25,True,0.8421502113342285
mistral:latest,mlm,40,island_effects,adjunct_island,What had some senator toured before hiding those cafes?,What had some senator toured those cafes before hiding?,-0.5,0.75,-1.25,False,0.8357551097869873
mistral:latest,mlm,41,island_effects,adjunct_island,Who was Eric impressing without admiring Christina?,Who was Eric impressing Christina without admiring?,1.0,-1.0,2.0,True,0.7414216995239258
mistral:latest,mlm,42,island_effects,adjunct_island,What do most drivers climb up without noticing most hills?,What do most drivers climb up most hills without noticing?,-1.5,-1.5,0.0,False,0.7426931858062744
mistral:latest,mlm,43,island_effects,adjunct_island,Who had Gregory worked with while noticing Julie?,Who had Gregory worked with Julie while noticing?,1.5,-1.0,2.5,True,0.7440900802612305
mistral:latest,mlm,44,island_effects,adjunct_island,Who was Rose astounding while hiding many waiters?,Who was Rose astounding many waiters while hiding?,-2.5,0.0,-2.5,False,0.723785400390625
mistral:latest,mlm,45,island_effects,adjunct_island,What is Karen researching before walking through that mountain?,What is Karen researching that mountain before walking through?,0.75,0.75,0.0,False,0.9323179721832275
mistral:latest,mlm,46,island_effects,adjunct_island,Who could Dana boast about after disturbing Brenda?,Who could Dana boast about Brenda after disturbing?,1.75,0.0,1.75,True,0.829827070236206
mistral:latest,mlm,47,island_effects,adjunct_island,What was this bird aggravating before annoying every hospital?,What was this bird aggravating every hospital before annoying?,-1.0,-1.5,0.5,True,0.7412052154541016
mistral:latest,mlm,48,island_effects,adjunct_island,Who had Colleen known after concealing Stephen?,Who had Colleen known Stephen after concealing?,1.25,-1.0,2.25,True,0.8437139987945557
mistral:latest,mlm,49,island_effects,adjunct_island,What are these customers arriving at without alarming Spain?,What are these customers arriving at Spain without alarming?,1.25,-0.5,1.75,True,0.8475990295410156
mistral:latest,mlm,50,island_effects,adjunct_island,What has Angela admired while cleaning shoes?,What has Angela admired shoes while cleaning?,1.5,-2.0,3.5,True,1.955596923828125
mistral:latest,mlm,51,island_effects,adjunct_island,What is Becky selling before noticing some hospital?,What is Becky selling some hospital before noticing?,-1.0,-1.5,0.5,True,0.7213881015777588
mistral:latest,mlm,52,island_effects,adjunct_island,Who had many cashiers concealed after investigating Nina?,Who had many cashiers concealed Nina after investigating?,0.75,0.0,0.75,True,0.8487348556518555
mistral:latest,mlm,53,island_effects,adjunct_island,Who had Melanie admired before listening to Chad?,Who had Melanie admired Chad before listening to?,1.25,-1.0,2.25,True,0.8285698890686035
mistral:latest,mlm,54,island_effects,adjunct_island,Who does Bethany visit before scaring Amanda?,Who does Bethany visit Amanda before scaring?,1.5,-0.5,2.0,True,0.7395100593566895
mistral:latest,mlm,55,island_effects,adjunct_island,What is Tiffany exiting before climbing down the mountain?,What is Tiffany exiting the mountain before climbing down?,0.75,0.75,0.0,False,0.9351890087127686
mistral:latest,mlm,56,island_effects,adjunct_island,Who had Susan insulted without boring Heather?,Who had Susan insulted Heather without boring?,0.5,-2.5,3.0,True,0.7384860515594482
mistral:latest,mlm,57,island_effects,adjunct_island,Who has Curtis noticed while investigating Steve?,Who has Curtis noticed Steve while investigating?,2.5,-0.5,3.0,True,0.7904460430145264
mistral:latest,mlm,58,island_effects,adjunct_island,Who has Kayla disliked after disgusting Derek?,Who has Kayla disliked Derek after disgusting?,1.25,-1.5,2.75,True,0.8286020755767822
mistral:latest,mlm,59,island_effects,adjunct_island,What is Martin skated around without buying these hospitals?,What is Martin skated around these hospitals without buying?,-2.5,-2.5,0.0,False,0.7410812377929688
mistral:latest,mlm,60,island_effects,adjunct_island,What was Beth dropping by after bringing all glaciers?,What was Beth dropping by all glaciers after bringing?,-1.5,-1.5,0.0,False,0.7245340347290039
mistral:latest,mlm,61,island_effects,adjunct_island,Who had Rhonda distracted while finding Chad?,Who had Rhonda distracted Chad while finding?,1.5,-1.0,2.5,True,0.7412979602813721
mistral:latest,mlm,62,island_effects,adjunct_island,What has Bethany driven to before biking to a lot of hills?,What has Bethany driven to a lot of hills before biking to?,1.25,1.25,0.0,False,0.9341399669647217
mistral:latest,mlm,63,island_effects,adjunct_island,Who have the slopes hurt before disgusting a lot of adults?,Who have the slopes hurt a lot of adults before disgusting?,-1.5,-1.5,0.0,False,0.7244999408721924
mistral:latest,mlm,64,island_effects,adjunct_island,What will Brad wear before noticing these scarves?,What will Brad wear these scarves before noticing?,0.5,-0.5,1.0,True,0.722606897354126
mistral:latest,mlm,65,island_effects,adjunct_island,What had Steven boycotted before running around the art gallery?,What had Steven boycotted the art gallery before running around?,1.25,-0.5,1.75,True,0.8285648822784424
mistral:latest,mlm,66,island_effects,adjunct_island,Who do the Borgias like before aggravating Mark?,Who do the Borgias like Mark before aggravating?,0.75,0.0,0.75,True,0.8304979801177979
mistral:latest,mlm,67,island_effects,adjunct_island,What had the patients resembled without hiding most sketches?,What had the patients resembled most sketches without hiding?,0.75,0.0,0.75,True,0.8279008865356445
mistral:latest,mlm,68,island_effects,adjunct_island,Who would Jesus hug without discovering Bradley?,Who would Jesus hug Bradley without discovering?,-1.0,-2.5,1.5,True,0.7197961807250977
mistral:latest,mlm,69,island_effects,adjunct_island,Who has Mark sounded like before finding that doctor?,Who has Mark sounded like that doctor before finding?,1.25,0.5,0.75,True,0.8463499546051025
mistral:latest,mlm,70,island_effects,adjunct_island,Who has Rebecca fled from without listening to Kirsten?,Who has Rebecca fled from Kirsten without listening to?,0.75,-1.0,1.75,True,0.8452990055084229
mistral:latest,mlm,71,island_effects,adjunct_island,Who was Ellen escaping from before curing Julia?,Who was Ellen escaping from Julia before curing?,1.75,1.75,0.0,False,0.9488613605499268
mistral:latest,mlm,72,island_effects,adjunct_island,What does Travis fix after breaking every carriage?,What does Travis fix every carriage after breaking?,2.5,1.5,1.0,True,0.7922277450561523
mistral:latest,mlm,73,island_effects,adjunct_island,What might Tanya walk through after hiding every cafe?,What might Tanya walk through every cafe after hiding?,1.5,1.75,-0.25,False,0.8269901275634766
mistral:latest,mlm,74,island_effects,adjunct_island,What has Ella brought after finding all icicles?,What has Ella brought all icicles after finding?,1.5,-1.0,2.5,True,0.7201900482177734
mistral:latest,mlm,75,island_effects,adjunct_island,What was Valerie selling after climbing down some slope?,What was Valerie selling some slope after climbing down?,2.5,0.0,2.5,True,0.7746157646179199
mistral:latest,mlm,76,island_effects,adjunct_island,What could Douglas bike to without admiring every mountain?,What could Douglas bike to every mountain without admiring?,1.75,0.75,1.0,True,0.9307961463928223
mistral:latest,mlm,77,island_effects,adjunct_island,What would those teenagers research before boycotting some malls?,What would those teenagers research some malls before boycotting?,1.75,0.5,1.25,True,0.8293941020965576
mistral:latest,mlm,78,island_effects,adjunct_island,What can Dan clean before cleaning every screen?,What can Dan clean every screen before cleaning?,0.75,-1.0,1.75,True,0.8412749767303467
mistral:latest,mlm,79,island_effects,adjunct_island,Who would Deborah see while hugging Christina?,Who would Deborah see Christina while hugging?,0.5,-1.5,2.0,True,0.7230749130249023
mistral:latest,mlm,80,island_effects,adjunct_island,Who can Gregory talk about before hugging Emily?,Who can Gregory talk about Emily before hugging?,0.75,-1.0,1.75,True,0.8430602550506592
mistral:latest,mlm,81,island_effects,adjunct_island,What should Elaine argue about before admiring books?,What should Elaine argue about books before admiring?,0.0,-1.0,1.0,True,0.7391407489776611
mistral:latest,mlm,82,island_effects,adjunct_island,What had Jason dropped by before selling those schools?,What had Jason dropped by those schools before selling?,1.25,1.25,0.0,False,0.9503922462463379
mistral:latest,mlm,83,island_effects,adjunct_island,What will the guys notice before shocking a lot of museums?,What will the guys notice a lot of museums before shocking?,0.0,-1.0,1.0,True,0.7236568927764893
mistral:latest,mlm,84,island_effects,adjunct_island,Who could Monet worry while thinking about Dana?,Who could Monet worry Dana while thinking about?,-1.0,-1.5,0.5,True,0.721066951751709
mistral:latest,mlm,85,island_effects,adjunct_island,Who could Thomas observe without distracting Peter?,Who could Thomas observe Peter without distracting?,1.5,0.75,0.75,True,0.8404946327209473
mistral:latest,mlm,86,island_effects,adjunct_island,Who has Suzanne admired after scaring Connie?,Who has Suzanne admired Connie after scaring?,1.25,-1.5,2.75,True,0.8271877765655518
mistral:latest,mlm,87,island_effects,adjunct_island,Who can some closets disgust without shocking that dancer?,Who can some closets disgust that dancer without shocking?,-2.5,-2.5,0.0,False,0.7215070724487305
mistral:latest,mlm,88,island_effects,adjunct_island,Who has Bruce annoyed while investigating Kevin?,Who has Bruce annoyed Kevin while investigating?,2.5,-1.5,4.0,True,0.7903420925140381
mistral:latest,mlm,89,island_effects,adjunct_island,What was Bethany lifting without returning to these cafes?,What was Bethany lifting these cafes without returning to?,0.75,-1.5,2.25,True,0.8277747631072998
mistral:latest,mlm,90,island_effects,adjunct_island,What should Wendy boycott after questioning every hospital?,What should Wendy boycott every hospital after questioning?,-0.5,-1.0,0.5,True,0.7681660652160645
mistral:latest,mlm,91,island_effects,adjunct_island,What are these pedestrians selling after finding that bird?,What are these pedestrians selling that bird after finding?,0.75,-1.5,2.25,True,0.8565289974212646
mistral:latest,mlm,92,island_effects,adjunct_island,What is Laurie buying before cleaning the car?,What is Laurie buying the car before cleaning?,1.5,0.0,1.5,True,0.7436249256134033
mistral:latest,mlm,93,island_effects,adjunct_island,What does Matt embarrass before bothering every legislature?,What does Matt embarrass every legislature before bothering?,-1.5,-1.5,0.0,False,0.7238290309906006
mistral:latest,mlm,94,island_effects,adjunct_island,What have some drivers worn without finding a shawl?,What have some drivers worn a shawl without finding?,0.5,-1.5,2.0,True,0.7234408855438232
mistral:latest,mlm,95,island_effects,adjunct_island,Who can Kimberley help before healing Martin?,Who can Kimberley help Martin before healing?,1.75,0.75,1.0,True,0.9466350078582764
mistral:latest,mlm,96,island_effects,adjunct_island,Who have most students distracted before impressing Marla?,Who have most students distracted Marla before impressing?,0.5,-1.0,1.5,True,0.7220170497894287
mistral:latest,mlm,97,island_effects,adjunct_island,What was Dawn boycotting after describing public parks?,What was Dawn boycotting public parks after describing?,0.75,-1.0,1.75,True,0.8455960750579834
mistral:latest,mlm,98,island_effects,adjunct_island,Who was Cynthia observing while thinking about Rose?,Who was Cynthia observing Rose while thinking about?,2.5,1.25,1.25,True,0.8983561992645264
mistral:latest,mlm,99,island_effects,adjunct_island,What do many fish break before breaking the truck?,What do many fish break the truck before breaking?,-2.5,-2.5,0.0,False,0.7407937049865723
mistral:latest,mlm,100,island_effects,adjunct_island,Who was Ann thinking about without distracting some cashiers?,Who was Ann thinking about some cashiers without distracting?,0.5,-1.0,1.5,True,0.7432403564453125
mistral:latest,mlm,101,island_effects,adjunct_island,What does this mall look like while looking like the paintings?,What does this mall look like the paintings while looking like?,-1.0,-2.5,1.5,True,0.7240607738494873
mistral:latest,mlm,102,island_effects,adjunct_island,Who has Suzanne irritated without alarming Homer?,Who has Suzanne irritated Homer without alarming?,1.75,0.5,1.25,True,0.8265359401702881
mistral:latest,mlm,103,island_effects,adjunct_island,Who could Candice investigate after approaching all senators?,Who could Candice investigate all senators after approaching?,1.75,0.0,1.75,True,0.8283340930938721
mistral:latest,mlm,104,island_effects,adjunct_island,Who might Dennis hire without helping Galileo?,Who might Dennis hire Galileo without helping?,0.0,-1.5,1.5,True,0.7203819751739502
mistral:latest,mlm,105,island_effects,adjunct_island,What had Sally remembered without insulting the report?,What had Sally remembered the report without insulting?,0.75,-1.0,1.75,True,0.825084924697876
mistral:latest,mlm,106,island_effects,adjunct_island,What was every senator scanning without taking most newspaper articles?,What was every senator scanning most newspaper articles without taking?,-1.5,-1.0,-0.5,False,0.7251770496368408
mistral:latest,mlm,107,island_effects,adjunct_island,Who is Diana boasting about after kissing Christina?,Who is Diana boasting about Christina after kissing?,1.5,0.75,0.75,True,0.8280389308929443
mistral:latest,mlm,108,island_effects,adjunct_island,What is Stephen worrying after talking about that hospital?,What is Stephen worrying that hospital after talking about?,0.0,-1.5,1.5,True,0.7192180156707764
mistral:latest,mlm,109,island_effects,adjunct_island,Who were many blouses confusing before distracting Alexander?,Who were many blouses confusing Alexander before distracting?,-2.0,-1.5,-0.5,False,2.477515697479248
mistral:latest,mlm,110,island_effects,adjunct_island,Who had Dan discovered before observing Judy?,Who had Dan discovered Judy before observing?,2.0,0.5,1.5,True,0.7439286708831787
mistral:latest,mlm,111,island_effects,adjunct_island,What was Connie climbing up before concealing all ladders?,What was Connie climbing up all ladders before concealing?,1.75,0.75,1.0,True,0.9339611530303955
mistral:latest,mlm,112,island_effects,adjunct_island,Who was this driver firing while disturbing Rachelle?,Who was this driver firing Rachelle while disturbing?,-1.5,-1.5,0.0,False,0.7240560054779053
mistral:latest,mlm,113,island_effects,adjunct_island,Who has Tina disturbed while arguing about Jill?,Who has Tina disturbed Jill while arguing about?,2.5,-1.0,3.5,True,0.7748939990997314
mistral:latest,mlm,114,island_effects,adjunct_island,Who has Rhonda described after describing a girl?,Who has Rhonda described a girl after describing?,1.5,0.5,1.0,True,0.7374229431152344
mistral:latest,mlm,115,island_effects,adjunct_island,Who might Derek criticize without firing drivers?,Who might Derek criticize drivers without firing?,0.75,-1.0,1.75,True,0.8419020175933838
mistral:latest,mlm,116,island_effects,adjunct_island,What has Cindy run around after walking through all closets?,What has Cindy run around all closets after walking through?,1.25,0.75,0.5,True,0.9322531223297119
mistral:latest,mlm,117,island_effects,adjunct_island,Who have the cakes annoyed while disturbing Renee?,Who have the cakes annoyed Renee while disturbing?,0.5,-1.5,2.0,True,0.7309062480926514
mistral:latest,mlm,118,island_effects,adjunct_island,Who had Kayla kissed after upsetting Aaron?,Who had Kayla kissed Aaron after upsetting?,2.0,0.0,2.0,True,0.7380032539367676
mistral:latest,mlm,119,island_effects,adjunct_island,Who is Rodney concealing after bothering Stephen?,Who is Rodney concealing Stephen after bothering?,1.75,-1.0,2.75,True,0.8428192138671875
mistral:latest,mlm,120,island_effects,adjunct_island,What might Anna lift before selling bicycles?,What might Anna lift bicycles before selling?,1.5,0.5,1.0,True,0.7371230125427246
mistral:latest,mlm,121,island_effects,adjunct_island,What was Ronald bringing while bringing a popsicle?,What was Ronald bringing a popsicle while bringing?,0.75,-0.5,1.25,True,0.8259053230285645
mistral:latest,mlm,122,island_effects,adjunct_island,What has Judy visited while selling some glacier?,What has Judy visited some glacier while selling?,0.75,-1.5,2.25,True,0.8260219097137451
mistral:latest,mlm,123,island_effects,adjunct_island,Who can this cart worry after upsetting waiters?,Who can this cart worry waiters after upsetting?,-1.5,-2.0,0.5,True,2.036850929260254
mistral:latest,mlm,124,island_effects,adjunct_island,What had Nicole driven to while selling hills?,What had Nicole driven to hills while selling?,-1.5,-1.5,0.0,False,0.7356290817260742
mistral:latest,mlm,125,island_effects,adjunct_island,Who had Lisa talked to without complaining about every guest?,Who had Lisa talked to every guest without complaining about?,1.75,1.75,0.0,False,0.9319088459014893
mistral:latest,mlm,126,island_effects,adjunct_island,Who could Jacqueline hire without healing Marcus?,Who could Jacqueline hire Marcus without healing?,-0.5,-1.5,1.0,True,0.737529993057251
mistral:latest,mlm,127,island_effects,adjunct_island,Who has Ann alarmed while insulting Omar?,Who has Ann alarmed Omar while insulting?,1.0,0.0,1.0,True,0.7199859619140625
mistral:latest,mlm,128,island_effects,adjunct_island,Who should Amanda distract while appreciating every patient?,Who should Amanda distract every patient while appreciating?,1.25,-0.5,1.75,True,0.8236968517303467
mistral:latest,mlm,129,island_effects,adjunct_island,Who had Regina irritated while hiding Deborah?,Who had Regina irritated Deborah while hiding?,1.75,-0.5,2.25,True,0.8272550106048584
mistral:latest,mlm,130,island_effects,adjunct_island,Who is the hat hurting while distracting Charles?,Who is the hat hurting Charles while distracting?,-1.0,-1.5,0.5,True,0.7383518218994141
mistral:latest,mlm,131,island_effects,adjunct_island,Who had Brian discovered after stunning Eric?,Who had Brian discovered Eric after stunning?,2.5,-1.0,3.5,True,0.7875311374664307
mistral:latest,mlm,132,island_effects,adjunct_island,What has Kevin broken without breaking every carriage?,What has Kevin broken every carriage without breaking?,1.25,0.75,0.5,True,0.9460489749908447
mistral:latest,mlm,133,island_effects,adjunct_island,What was Connie descending without bringing ladders?,What was Connie descending ladders without bringing?,0.75,0.75,0.0,False,0.9326808452606201
mistral:latest,mlm,134,island_effects,adjunct_island,What does Brad descend without finding some hills?,What does Brad descend some hills without finding?,-1.0,0.0,-1.0,False,0.7359797954559326
mistral:latest,mlm,135,island_effects,adjunct_island,Who had Rachel concealed without disgusting Mark?,Who had Rachel concealed Mark without disgusting?,1.25,-2.5,3.75,True,0.8399932384490967
mistral:latest,mlm,136,island_effects,adjunct_island,What is Jessica driving to after noticing Spain?,What is Jessica driving to Spain after noticing?,1.25,1.25,0.0,False,0.9461140632629395
mistral:latest,mlm,137,island_effects,adjunct_island,Who has Margaret criticized while thinking about Lawrence?,Who has Margaret criticized Lawrence while thinking about?,2.0,0.0,2.0,True,0.7383217811584473
mistral:latest,mlm,138,island_effects,adjunct_island,Who had some face bothered while confusing Sarah?,Who had some face bothered Sarah while confusing?,-1.5,-2.5,1.0,True,0.7355220317840576
mistral:latest,mlm,139,island_effects,adjunct_island,Who had Regina cured while talking about every dancer?,Who had Regina cured every dancer while talking about?,1.25,-1.0,2.25,True,0.8263318538665771
mistral:latest,mlm,140,island_effects,adjunct_island,What could Ellen climb up without climbing down stairs?,What could Ellen climb up stairs without climbing down?,1.5,-0.5,2.0,True,0.7414710521697998
mistral:latest,mlm,141,island_effects,adjunct_island,Who had Margaret talked to while insulting Carol?,Who had Margaret talked to Carol while insulting?,2.5,1.0,1.5,True,0.8018288612365723
mistral:latest,mlm,142,island_effects,adjunct_island,What has Kayla looked like while bringing a lot of photographs?,What has Kayla looked like a lot of photographs while bringing?,0.5,-1.0,1.5,True,0.7229039669036865
mistral:latest,mlm,143,island_effects,adjunct_island,Who was Kendra scaring after insulting Tammy?,Who was Kendra scaring Tammy after insulting?,1.75,1.25,0.5,True,0.9303178787231445
mistral:latest,mlm,144,island_effects,adjunct_island,Who will Lissa sound like before irritating Sonia?,Who will Lissa sound like Sonia before irritating?,1.25,0.75,0.5,True,0.9332220554351807
mistral:latest,mlm,145,island_effects,adjunct_island,Who had Pamela bored after discovering Homer?,Who had Pamela bored Homer after discovering?,1.0,-1.5,2.5,True,0.7200469970703125
mistral:latest,mlm,146,island_effects,adjunct_island,What was Scott dropping by before running around a hill?,What was Scott dropping by a hill before running around?,1.75,1.25,0.5,True,0.929412841796875
mistral:latest,mlm,147,island_effects,adjunct_island,Who can Becky love before upsetting those adults?,Who can Becky love those adults before upsetting?,1.5,-1.0,2.5,True,0.7219498157501221
mistral:latest,mlm,148,island_effects,adjunct_island,What is Sara wearing without buying those blouses?,What is Sara wearing those blouses without buying?,-1.5,-1.5,0.0,False,0.7187812328338623
mistral:latest,mlm,149,island_effects,adjunct_island,Who will guys describe before scaring Elizabeth?,Who will guys describe Elizabeth before scaring?,-1.0,-1.5,0.5,True,0.7357809543609619
mistral:latest,mlm,150,island_effects,adjunct_island,Who was Carrie annoying after discovering Florence?,Who was Carrie annoying Florence after discovering?,1.25,-1.5,2.75,True,0.8410999774932861
mistral:latest,mlm,151,island_effects,adjunct_island,What will Adam tour without criticizing this college campus?,What will Adam tour this college campus without criticizing?,1.25,-0.5,1.75,True,0.8267028331756592
mistral:latest,mlm,152,island_effects,adjunct_island,Who did Steve observe while irritating Ella?,Who did Steve observe Ella while irritating?,1.75,-1.0,2.75,True,0.8233458995819092
mistral:latest,mlm,153,island_effects,adjunct_island,What were the Clintons climbing up after noticing most hills?,What were the Clintons climbing up most hills after noticing?,0.75,0.75,0.0,False,0.9406678676605225
mistral:latest,mlm,154,island_effects,adjunct_island,What has James broken before cleaning those couches?,What has James broken those couches before cleaning?,1.5,-1.0,2.5,True,0.7181591987609863
mistral:latest,mlm,155,island_effects,adjunct_island,Who can Bradley appreciate after concealing the Clintons?,Who can Bradley appreciate the Clintons after concealing?,0.75,0.75,0.0,False,0.9314479827880859
mistral:latest,mlm,156,island_effects,adjunct_island,Who has the cashier fired without disturbing Bruce?,Who has the cashier fired Bruce without disturbing?,0.75,-1.0,1.75,True,0.8411669731140137
mistral:latest,mlm,157,island_effects,adjunct_island,What has Heather skated around after going to that mountain?,What has Heather skated around that mountain after going to?,0.75,1.25,-0.5,False,0.9310610294342041
mistral:latest,mlm,158,island_effects,adjunct_island,Who have these turtles astounded without impressing Naomi?,Who have these turtles astounded Naomi without impressing?,1.25,1.25,0.0,False,0.93365478515625
mistral:latest,mlm,159,island_effects,adjunct_island,Who was Keith working with after arguing about Heather?,Who was Keith working with Heather after arguing about?,2.5,-1.5,4.0,True,0.7728128433227539
mistral:latest,mlm,160,island_effects,adjunct_island,What was Gerald breaking after buying these carriages?,What was Gerald breaking these carriages after buying?,1.75,0.5,1.25,True,0.8260848522186279
mistral:latest,mlm,161,island_effects,adjunct_island,What had Jerry worn before selling some hats?,What had Jerry worn some hats before selling?,1.5,0.0,1.5,True,0.7190110683441162
mistral:latest,mlm,162,island_effects,adjunct_island,What will these girls drop by while exploring every grocery store?,What will these girls drop by every grocery store while exploring?,1.25,1.5,-0.25,False,0.8274831771850586
