model,model_type,pair_id,category,phenomenon,good_sentence,bad_sentence,good_score,bad_score,score_difference,correct
gpt2,clm,16,island_effects,adjunct_island,What will Janice research after boasting about politics?,What will Janice research politics after boasting about?,-63.11581802368164,-68.33077239990234,5.214954376220703,True
gpt2,clm,17,island_effects,adjunct_island,Who had Karla aggravated without finding Donald?,Who had Karla aggravated Donald without finding?,-67.67443084716797,-70.93472290039062,3.2602920532226562,True
gpt2,clm,18,island_effects,adjunct_island,Who should a government reference before shocking Jesus?,Who should a government reference Jesus before shocking?,-59.18000411987305,-63.502647399902344,4.322643280029297,True
gpt2,clm,19,island_effects,adjunct_island,What had Aaron sounded like while cleaning the museum?,What had Aaron sounded like the museum while cleaning?,-49.413639068603516,-60.16996383666992,10.756324768066406,True
gpt2,clm,20,island_effects,adjunct_island,What is Brenda arriving at while exiting many schools?,What is Brenda arriving at many schools while exiting?,-65.19461059570312,-63.07470703125,-2.119903564453125,False
gpt2,clm,21,island_effects,adjunct_island,Who is a window hurting without disturbing Sabrina?,Who is a window hurting Sabrina without disturbing?,-64.49667358398438,-67.10765075683594,2.6109771728515625,True
gpt2,clm,22,island_effects,adjunct_island,Who had Jesus bothered after leaving Lori?,Who had Jesus bothered Lori after leaving?,-56.542484283447266,-55.44170379638672,-1.1007804870605469,False
gpt2,clm,23,island_effects,adjunct_island,Who are a lot of hamsters disgusting while finding Ronald?,Who are a lot of hamsters disgusting Ronald while finding?,-68.93994140625,-79.79378509521484,10.853843688964844,True
gpt2,clm,24,island_effects,adjunct_island,Who could Amelia leave while appreciating Paul?,Who could Amelia leave Paul while appreciating?,-56.75970458984375,-63.542686462402344,6.782981872558594,True
gpt2,clm,25,island_effects,adjunct_island,What have many ladies dropped by without talking about all malls?,What have many ladies dropped by all malls without talking about?,-68.2232437133789,-67.17735290527344,-1.0458908081054688,False
gpt2,clm,26,island_effects,adjunct_island,What is Larry dropping by after lifting a grocery store?,What is Larry dropping by a grocery store after lifting?,-60.54233932495117,-59.519248962402344,-1.0230903625488281,False
gpt2,clm,27,island_effects,adjunct_island,Who is that student hugging before stunning Catherine?,Who is that student hugging Catherine before stunning?,-58.85511779785156,-61.361045837402344,2.5059280395507812,True
gpt2,clm,28,island_effects,adjunct_island,Who were those schools appreciating without scaring Alice?,Who were those schools appreciating Alice without scaring?,-66.99803161621094,-70.42974853515625,3.4317169189453125,True
gpt2,clm,29,island_effects,adjunct_island,What did Dan sell after revealing some plane?,What did Dan sell some plane after revealing?,-66.06068420410156,-64.50631713867188,-1.5543670654296875,False
gpt2,clm,30,island_effects,adjunct_island,What had Marcus climbed down before buying many mountains?,What had Marcus climbed down many mountains before buying?,-64.03892517089844,-61.733726501464844,-2.3051986694335938,False
gpt2,clm,31,island_effects,adjunct_island,What has Jacqueline scanned before revealing that report?,What has Jacqueline scanned that report before revealing?,-60.0348014831543,-60.18177032470703,0.14696884155273438,True
gpt2,clm,32,island_effects,adjunct_island,Who is Tanya returning to while astounding Donald?,Who is Tanya returning to Donald while astounding?,-63.52557373046875,-69.37400817871094,5.8484344482421875,True
gpt2,clm,33,island_effects,adjunct_island,Who had Kirsten referenced without boring Liam?,Who had Kirsten referenced Liam without boring?,-68.74392700195312,-74.72207641601562,5.9781494140625,True
gpt2,clm,34,island_effects,adjunct_island,What are some drivers touring after going to every hill?,What are some drivers touring every hill after going to?,-63.629539489746094,-68.90959167480469,5.280052185058594,True
gpt2,clm,35,island_effects,adjunct_island,Who would Mark visit while kissing Marla?,Who would Mark visit Marla while kissing?,-53.124183654785156,-56.94016647338867,3.8159828186035156,True
gpt2,clm,36,island_effects,adjunct_island,What is Scott cleaning after cleaning a pie?,What is Scott cleaning a pie after cleaning?,-58.08484649658203,-57.90247344970703,-0.182373046875,False
gpt2,clm,37,island_effects,adjunct_island,Who has some doctor listened to after firing that actress?,Who has some doctor listened to that actress after firing?,-66.26775360107422,-70.10480499267578,3.8370513916015625,True
gpt2,clm,38,island_effects,adjunct_island,Who has that lady approached after alarming Ellen?,Who has that lady approached Ellen after alarming?,-61.26264953613281,-66.90767669677734,5.645027160644531,True
gpt2,clm,39,island_effects,adjunct_island,What can Randolf bike to before discussing the lakes?,What can Randolf bike to the lakes before discussing?,-72.57420349121094,-74.42162322998047,1.8474197387695312,True
gpt2,clm,40,island_effects,adjunct_island,What had some senator toured before hiding those cafes?,What had some senator toured those cafes before hiding?,-73.43415832519531,-67.88418579101562,-5.5499725341796875,False
gpt2,clm,41,island_effects,adjunct_island,Who was Eric impressing without admiring Christina?,Who was Eric impressing Christina without admiring?,-61.299346923828125,-60.8298454284668,-0.4695014953613281,False
gpt2,clm,42,island_effects,adjunct_island,What do most drivers climb up without noticing most hills?,What do most drivers climb up most hills without noticing?,-66.79640197753906,-60.29810333251953,-6.498298645019531,False
gpt2,clm,43,island_effects,adjunct_island,Who had Gregory worked with while noticing Julie?,Who had Gregory worked with Julie while noticing?,-64.32109069824219,-67.98388671875,3.6627960205078125,True
gpt2,clm,44,island_effects,adjunct_island,Who was Rose astounding while hiding many waiters?,Who was Rose astounding many waiters while hiding?,-70.22865295410156,-74.09428405761719,3.865631103515625,True
gpt2,clm,45,island_effects,adjunct_island,What is Karen researching before walking through that mountain?,What is Karen researching that mountain before walking through?,-58.01001739501953,-64.26004028320312,6.250022888183594,True
gpt2,clm,46,island_effects,adjunct_island,Who could Dana boast about after disturbing Brenda?,Who could Dana boast about Brenda after disturbing?,-63.51005554199219,-67.40300750732422,3.8929519653320312,True
gpt2,clm,47,island_effects,adjunct_island,What was this bird aggravating before annoying every hospital?,What was this bird aggravating every hospital before annoying?,-76.89302062988281,-78.97773742675781,2.084716796875,True
gpt2,clm,48,island_effects,adjunct_island,Who had Colleen known after concealing Stephen?,Who had Colleen known Stephen after concealing?,-62.18547058105469,-66.7777099609375,4.5922393798828125,True
gpt2,clm,49,island_effects,adjunct_island,What are these customers arriving at without alarming Spain?,What are these customers arriving at Spain without alarming?,-66.86300659179688,-61.6279296875,-5.235076904296875,False
gpt2,clm,50,island_effects,adjunct_island,What has Angela admired while cleaning shoes?,What has Angela admired shoes while cleaning?,-53.3115348815918,-60.300376892089844,6.988842010498047,True
gpt2,clm,51,island_effects,adjunct_island,What is Becky selling before noticing some hospital?,What is Becky selling some hospital before noticing?,-65.94576263427734,-67.9673843383789,2.0216217041015625,True
gpt2,clm,52,island_effects,adjunct_island,Who had many cashiers concealed after investigating Nina?,Who had many cashiers concealed Nina after investigating?,-74.64784240722656,-78.53758239746094,3.889739990234375,True
gpt2,clm,53,island_effects,adjunct_island,Who had Melanie admired before listening to Chad?,Who had Melanie admired Chad before listening to?,-58.46986770629883,-66.30077362060547,7.830905914306641,True
gpt2,clm,54,island_effects,adjunct_island,Who does Bethany visit before scaring Amanda?,Who does Bethany visit Amanda before scaring?,-56.51299285888672,-64.89114379882812,8.378150939941406,True
gpt2,clm,55,island_effects,adjunct_island,What is Tiffany exiting before climbing down the mountain?,What is Tiffany exiting the mountain before climbing down?,-51.779808044433594,-55.867183685302734,4.087375640869141,True
gpt2,clm,56,island_effects,adjunct_island,Who had Susan insulted without boring Heather?,Who had Susan insulted Heather without boring?,-63.68822479248047,-66.70319366455078,3.0149688720703125,True
gpt2,clm,57,island_effects,adjunct_island,Who has Curtis noticed while investigating Steve?,Who has Curtis noticed Steve while investigating?,-56.334510803222656,-57.08045196533203,0.745941162109375,True
gpt2,clm,58,island_effects,adjunct_island,Who has Kayla disliked after disgusting Derek?,Who has Kayla disliked Derek after disgusting?,-65.1595687866211,-65.86414337158203,0.7045745849609375,True
gpt2,clm,59,island_effects,adjunct_island,What is Martin skated around without buying these hospitals?,What is Martin skated around these hospitals without buying?,-72.45429229736328,-73.6500244140625,1.1957321166992188,True
gpt2,clm,60,island_effects,adjunct_island,What was Beth dropping by after bringing all glaciers?,What was Beth dropping by all glaciers after bringing?,-70.9351806640625,-72.73987579345703,1.8046951293945312,True
gpt2,clm,61,island_effects,adjunct_island,Who had Rhonda distracted while finding Chad?,Who had Rhonda distracted Chad while finding?,-58.337242126464844,-71.49856567382812,13.161323547363281,True
gpt2,clm,62,island_effects,adjunct_island,What has Bethany driven to before biking to a lot of hills?,What has Bethany driven to a lot of hills before biking to?,-71.46797943115234,-75.43400573730469,3.9660263061523438,True
gpt2,clm,63,island_effects,adjunct_island,Who have the slopes hurt before disgusting a lot of adults?,Who have the slopes hurt a lot of adults before disgusting?,-74.17967224121094,-77.0584487915039,2.8787765502929688,True
gpt2,clm,64,island_effects,adjunct_island,What will Brad wear before noticing these scarves?,What will Brad wear these scarves before noticing?,-58.5038948059082,-61.03379821777344,2.5299034118652344,True
gpt2,clm,65,island_effects,adjunct_island,What had Steven boycotted before running around the art gallery?,What had Steven boycotted the art gallery before running around?,-62.9222412109375,-65.20677947998047,2.2845382690429688,True
gpt2,clm,66,island_effects,adjunct_island,Who do the Borgias like before aggravating Mark?,Who do the Borgias like Mark before aggravating?,-72.43207550048828,-76.54741668701172,4.1153411865234375,True
gpt2,clm,67,island_effects,adjunct_island,What had the patients resembled without hiding most sketches?,What had the patients resembled most sketches without hiding?,-69.71770477294922,-72.53706359863281,2.8193588256835938,True
gpt2,clm,68,island_effects,adjunct_island,Who would Jesus hug without discovering Bradley?,Who would Jesus hug Bradley without discovering?,-55.9880485534668,-57.47515106201172,1.4871025085449219,True
gpt2,clm,69,island_effects,adjunct_island,Who has Mark sounded like before finding that doctor?,Who has Mark sounded like that doctor before finding?,-62.828636169433594,-66.69388580322266,3.8652496337890625,True
gpt2,clm,70,island_effects,adjunct_island,Who has Rebecca fled from without listening to Kirsten?,Who has Rebecca fled from Kirsten without listening to?,-63.17250061035156,-65.212646484375,2.0401458740234375,True
gpt2,clm,71,island_effects,adjunct_island,Who was Ellen escaping from before curing Julia?,Who was Ellen escaping from Julia before curing?,-58.598358154296875,-59.67505645751953,1.0766983032226562,True
gpt2,clm,72,island_effects,adjunct_island,What does Travis fix after breaking every carriage?,What does Travis fix every carriage after breaking?,-59.265159606933594,-67.64290618896484,8.37774658203125,True
gpt2,clm,73,island_effects,adjunct_island,What might Tanya walk through after hiding every cafe?,What might Tanya walk through every cafe after hiding?,-67.52747344970703,-66.95809173583984,-0.5693817138671875,False
gpt2,clm,74,island_effects,adjunct_island,What has Ella brought after finding all icicles?,What has Ella brought all icicles after finding?,-67.77135467529297,-75.35379791259766,7.5824432373046875,True
gpt2,clm,75,island_effects,adjunct_island,What was Valerie selling after climbing down some slope?,What was Valerie selling some slope after climbing down?,-60.85595703125,-67.9355697631836,7.079612731933594,True
gpt2,clm,76,island_effects,adjunct_island,What could Douglas bike to without admiring every mountain?,What could Douglas bike to every mountain without admiring?,-64.50129699707031,-66.05941772460938,1.5581207275390625,True
gpt2,clm,77,island_effects,adjunct_island,What would those teenagers research before boycotting some malls?,What would those teenagers research some malls before boycotting?,-67.693603515625,-73.12693786621094,5.4333343505859375,True
gpt2,clm,78,island_effects,adjunct_island,What can Dan clean before cleaning every screen?,What can Dan clean every screen before cleaning?,-54.15449142456055,-54.892478942871094,0.7379875183105469,True
gpt2,clm,79,island_effects,adjunct_island,Who would Deborah see while hugging Christina?,Who would Deborah see Christina while hugging?,-49.526268005371094,-51.82978820800781,2.3035202026367188,True
gpt2,clm,80,island_effects,adjunct_island,Who can Gregory talk about before hugging Emily?,Who can Gregory talk about Emily before hugging?,-52.560890197753906,-58.83039474487305,6.269504547119141,True
gpt2,clm,81,island_effects,adjunct_island,What should Elaine argue about before admiring books?,What should Elaine argue about books before admiring?,-58.927940368652344,-62.58677673339844,3.6588363647460938,True
gpt2,clm,82,island_effects,adjunct_island,What had Jason dropped by before selling those schools?,What had Jason dropped by those schools before selling?,-62.3016357421875,-58.63341522216797,-3.6682205200195312,False
gpt2,clm,83,island_effects,adjunct_island,What will the guys notice before shocking a lot of museums?,What will the guys notice a lot of museums before shocking?,-66.24650573730469,-72.44081115722656,6.194305419921875,True
gpt2,clm,84,island_effects,adjunct_island,Who could Monet worry while thinking about Dana?,Who could Monet worry Dana while thinking about?,-64.19792175292969,-72.48991394042969,8.2919921875,True
gpt2,clm,85,island_effects,adjunct_island,Who could Thomas observe without distracting Peter?,Who could Thomas observe Peter without distracting?,-53.256195068359375,-57.969261169433594,4.713066101074219,True
gpt2,clm,86,island_effects,adjunct_island,Who has Suzanne admired after scaring Connie?,Who has Suzanne admired Connie after scaring?,-63.894466400146484,-69.11845397949219,5.223987579345703,True
gpt2,clm,87,island_effects,adjunct_island,Who can some closets disgust without shocking that dancer?,Who can some closets disgust that dancer without shocking?,-77.72837829589844,-77.2592544555664,-0.46912384033203125,False
gpt2,clm,88,island_effects,adjunct_island,Who has Bruce annoyed while investigating Kevin?,Who has Bruce annoyed Kevin while investigating?,-53.020286560058594,-55.10072326660156,2.0804367065429688,True
gpt2,clm,89,island_effects,adjunct_island,What was Bethany lifting without returning to these cafes?,What was Bethany lifting these cafes without returning to?,-64.64820861816406,-71.94637298583984,7.298164367675781,True
gpt2,clm,90,island_effects,adjunct_island,What should Wendy boycott after questioning every hospital?,What should Wendy boycott every hospital after questioning?,-65.60140991210938,-66.96853637695312,1.36712646484375,True
gpt2,clm,91,island_effects,adjunct_island,What are these pedestrians selling after finding that bird?,What are these pedestrians selling that bird after finding?,-59.63951110839844,-64.21160888671875,4.5720977783203125,True
gpt2,clm,92,island_effects,adjunct_island,What is Laurie buying before cleaning the car?,What is Laurie buying the car before cleaning?,-54.329429626464844,-58.50849151611328,4.1790618896484375,True
gpt2,clm,93,island_effects,adjunct_island,What does Matt embarrass before bothering every legislature?,What does Matt embarrass every legislature before bothering?,-71.26349639892578,-72.04261016845703,0.77911376953125,True
gpt2,clm,94,island_effects,adjunct_island,What have some drivers worn without finding a shawl?,What have some drivers worn a shawl without finding?,-62.31311798095703,-65.97050476074219,3.6573867797851562,True
gpt2,clm,95,island_effects,adjunct_island,Who can Kimberley help before healing Martin?,Who can Kimberley help Martin before healing?,-61.649078369140625,-59.39441680908203,-2.2546615600585938,False
gpt2,clm,96,island_effects,adjunct_island,Who have most students distracted before impressing Marla?,Who have most students distracted Marla before impressing?,-72.497314453125,-75.3367919921875,2.8394775390625,True
gpt2,clm,97,island_effects,adjunct_island,What was Dawn boycotting after describing public parks?,What was Dawn boycotting public parks after describing?,-63.26093673706055,-67.14541625976562,3.884479522705078,True
gpt2,clm,98,island_effects,adjunct_island,Who was Cynthia observing while thinking about Rose?,Who was Cynthia observing Rose while thinking about?,-53.19233703613281,-57.654327392578125,4.4619903564453125,True
gpt2,clm,99,island_effects,adjunct_island,What do many fish break before breaking the truck?,What do many fish break the truck before breaking?,-54.48677062988281,-58.69276428222656,4.20599365234375,True
gpt2,clm,100,island_effects,adjunct_island,Who was Ann thinking about without distracting some cashiers?,Who was Ann thinking about some cashiers without distracting?,-73.93966674804688,-76.46992492675781,2.5302581787109375,True
gpt2,clm,101,island_effects,adjunct_island,What does this mall look like while looking like the paintings?,What does this mall look like the paintings while looking like?,-50.260833740234375,-57.72673034667969,7.4658966064453125,True
gpt2,clm,102,island_effects,adjunct_island,Who has Suzanne irritated without alarming Homer?,Who has Suzanne irritated Homer without alarming?,-66.01005554199219,-70.6379165649414,4.627861022949219,True
gpt2,clm,103,island_effects,adjunct_island,Who could Candice investigate after approaching all senators?,Who could Candice investigate all senators after approaching?,-66.75714874267578,-73.05083465576172,6.2936859130859375,True
gpt2,clm,104,island_effects,adjunct_island,Who might Dennis hire without helping Galileo?,Who might Dennis hire Galileo without helping?,-62.09326934814453,-63.20628356933594,1.1130142211914062,True
gpt2,clm,105,island_effects,adjunct_island,What had Sally remembered without insulting the report?,What had Sally remembered the report without insulting?,-60.605201721191406,-61.84257888793945,1.2373771667480469,True
gpt2,clm,106,island_effects,adjunct_island,What was every senator scanning without taking most newspaper articles?,What was every senator scanning most newspaper articles without taking?,-69.87649536132812,-75.65509796142578,5.778602600097656,True
gpt2,clm,107,island_effects,adjunct_island,Who is Diana boasting about after kissing Christina?,Who is Diana boasting about Christina after kissing?,-55.36067581176758,-57.2236213684082,1.862945556640625,True
gpt2,clm,108,island_effects,adjunct_island,What is Stephen worrying after talking about that hospital?,What is Stephen worrying that hospital after talking about?,-60.983524322509766,-74.86956024169922,13.886035919189453,True
gpt2,clm,109,island_effects,adjunct_island,Who were many blouses confusing before distracting Alexander?,Who were many blouses confusing Alexander before distracting?,-73.31437683105469,-76.991455078125,3.6770782470703125,True
gpt2,clm,110,island_effects,adjunct_island,Who had Dan discovered before observing Judy?,Who had Dan discovered Judy before observing?,-58.284385681152344,-64.36714935302734,6.082763671875,True
gpt2,clm,111,island_effects,adjunct_island,What was Connie climbing up before concealing all ladders?,What was Connie climbing up all ladders before concealing?,-70.9322509765625,-69.86582946777344,-1.0664215087890625,False
gpt2,clm,112,island_effects,adjunct_island,Who was this driver firing while disturbing Rachelle?,Who was this driver firing Rachelle while disturbing?,-62.953590393066406,-67.78994750976562,4.836357116699219,True
gpt2,clm,113,island_effects,adjunct_island,Who has Tina disturbed while arguing about Jill?,Who has Tina disturbed Jill while arguing about?,-60.93642807006836,-66.60194396972656,5.665515899658203,True
gpt2,clm,114,island_effects,adjunct_island,Who has Rhonda described after describing a girl?,Who has Rhonda described a girl after describing?,-55.264183044433594,-60.17200469970703,4.9078216552734375,True
gpt2,clm,115,island_effects,adjunct_island,Who might Derek criticize without firing drivers?,Who might Derek criticize drivers without firing?,-56.61347198486328,-57.777584075927734,1.1641120910644531,True
gpt2,clm,116,island_effects,adjunct_island,What has Cindy run around after walking through all closets?,What has Cindy run around all closets after walking through?,-67.71924591064453,-73.30614471435547,5.5868988037109375,True
gpt2,clm,117,island_effects,adjunct_island,Who have the cakes annoyed while disturbing Renee?,Who have the cakes annoyed Renee while disturbing?,-73.2032470703125,-77.36979675292969,4.1665496826171875,True
gpt2,clm,118,island_effects,adjunct_island,Who had Kayla kissed after upsetting Aaron?,Who had Kayla kissed Aaron after upsetting?,-59.53733444213867,-68.05276489257812,8.515430450439453,True
gpt2,clm,119,island_effects,adjunct_island,Who is Rodney concealing after bothering Stephen?,Who is Rodney concealing Stephen after bothering?,-61.067787170410156,-67.28205871582031,6.214271545410156,True
gpt2,clm,120,island_effects,adjunct_island,What might Anna lift before selling bicycles?,What might Anna lift bicycles before selling?,-58.620758056640625,-62.14717102050781,3.5264129638671875,True
gpt2,clm,121,island_effects,adjunct_island,What was Ronald bringing while bringing a popsicle?,What was Ronald bringing a popsicle while bringing?,-61.69673156738281,-67.198974609375,5.5022430419921875,True
gpt2,clm,122,island_effects,adjunct_island,What has Judy visited while selling some glacier?,What has Judy visited some glacier while selling?,-65.43380737304688,-67.49288940429688,2.05908203125,True
gpt2,clm,123,island_effects,adjunct_island,Who can this cart worry after upsetting waiters?,Who can this cart worry waiters after upsetting?,-65.48969268798828,-73.55049896240234,8.060806274414062,True
gpt2,clm,124,island_effects,adjunct_island,What had Nicole driven to while selling hills?,What had Nicole driven to hills while selling?,-61.55588912963867,-63.46732711791992,1.91143798828125,True
gpt2,clm,125,island_effects,adjunct_island,Who had Lisa talked to without complaining about every guest?,Who had Lisa talked to every guest without complaining about?,-65.66356658935547,-68.79344177246094,3.1298751831054688,True
gpt2,clm,126,island_effects,adjunct_island,Who could Jacqueline hire without healing Marcus?,Who could Jacqueline hire Marcus without healing?,-67.46937561035156,-65.19610595703125,-2.2732696533203125,False
gpt2,clm,127,island_effects,adjunct_island,Who has Ann alarmed while insulting Omar?,Who has Ann alarmed Omar while insulting?,-61.920631408691406,-64.74179077148438,2.8211593627929688,True
gpt2,clm,128,island_effects,adjunct_island,Who should Amanda distract while appreciating every patient?,Who should Amanda distract every patient while appreciating?,-69.93608093261719,-73.86918640136719,3.93310546875,True
gpt2,clm,129,island_effects,adjunct_island,Who had Regina irritated while hiding Deborah?,Who had Regina irritated Deborah while hiding?,-61.90430450439453,-67.29821014404297,5.3939056396484375,True
gpt2,clm,130,island_effects,adjunct_island,Who is the hat hurting while distracting Charles?,Who is the hat hurting Charles while distracting?,-59.21846008300781,-60.620338439941406,1.4018783569335938,True
gpt2,clm,131,island_effects,adjunct_island,Who had Brian discovered after stunning Eric?,Who had Brian discovered Eric after stunning?,-60.78803253173828,-66.62105560302734,5.8330230712890625,True
gpt2,clm,132,island_effects,adjunct_island,What has Kevin broken without breaking every carriage?,What has Kevin broken every carriage without breaking?,-59.16044998168945,-62.266117095947266,3.1056671142578125,True
gpt2,clm,133,island_effects,adjunct_island,What was Connie descending without bringing ladders?,What was Connie descending ladders without bringing?,-59.580562591552734,-64.98748779296875,5.406925201416016,True
gpt2,clm,134,island_effects,adjunct_island,What does Brad descend without finding some hills?,What does Brad descend some hills without finding?,-64.52398681640625,-63.36952590942383,-1.1544609069824219,False
gpt2,clm,135,island_effects,adjunct_island,Who had Rachel concealed without disgusting Mark?,Who had Rachel concealed Mark without disgusting?,-67.3616943359375,-70.69703674316406,3.3353424072265625,True
gpt2,clm,136,island_effects,adjunct_island,What is Jessica driving to after noticing Spain?,What is Jessica driving to Spain after noticing?,-66.00442504882812,-59.09941101074219,-6.9050140380859375,False
gpt2,clm,137,island_effects,adjunct_island,Who has Margaret criticized while thinking about Lawrence?,Who has Margaret criticized Lawrence while thinking about?,-59.10237121582031,-64.66059875488281,5.5582275390625,True
gpt2,clm,138,island_effects,adjunct_island,Who had some face bothered while confusing Sarah?,Who had some face bothered Sarah while confusing?,-62.562225341796875,-67.92355346679688,5.361328125,True
gpt2,clm,139,island_effects,adjunct_island,Who had Regina cured while talking about every dancer?,Who had Regina cured every dancer while talking about?,-70.01936340332031,-73.98838806152344,3.969024658203125,True
gpt2,clm,140,island_effects,adjunct_island,What could Ellen climb up without climbing down stairs?,What could Ellen climb up stairs without climbing down?,-55.547916412353516,-49.93648910522461,-5.611427307128906,False
gpt2,clm,141,island_effects,adjunct_island,Who had Margaret talked to while insulting Carol?,Who had Margaret talked to Carol while insulting?,-59.28445816040039,-64.6834945678711,5.399036407470703,True
gpt2,clm,142,island_effects,adjunct_island,What has Kayla looked like while bringing a lot of photographs?,What has Kayla looked like a lot of photographs while bringing?,-57.53584289550781,-68.25917053222656,10.72332763671875,True
gpt2,clm,143,island_effects,adjunct_island,Who was Kendra scaring after insulting Tammy?,Who was Kendra scaring Tammy after insulting?,-60.233314514160156,-62.8001708984375,2.5668563842773438,True
gpt2,clm,144,island_effects,adjunct_island,Who will Lissa sound like before irritating Sonia?,Who will Lissa sound like Sonia before irritating?,-62.78866195678711,-68.6873779296875,5.898715972900391,True
gpt2,clm,145,island_effects,adjunct_island,Who had Pamela bored after discovering Homer?,Who had Pamela bored Homer after discovering?,-59.990028381347656,-66.50154876708984,6.5115203857421875,True
gpt2,clm,146,island_effects,adjunct_island,What was Scott dropping by before running around a hill?,What was Scott dropping by a hill before running around?,-60.014034271240234,-61.86491012573242,1.8508758544921875,True
gpt2,clm,147,island_effects,adjunct_island,Who can Becky love before upsetting those adults?,Who can Becky love those adults before upsetting?,-62.7761116027832,-71.19767761230469,8.421566009521484,True
gpt2,clm,148,island_effects,adjunct_island,What is Sara wearing without buying those blouses?,What is Sara wearing those blouses without buying?,-55.88020324707031,-58.48760223388672,2.6073989868164062,True
gpt2,clm,149,island_effects,adjunct_island,Who will guys describe before scaring Elizabeth?,Who will guys describe Elizabeth before scaring?,-60.16569519042969,-61.263893127441406,1.0981979370117188,True
gpt2,clm,150,island_effects,adjunct_island,Who was Carrie annoying after discovering Florence?,Who was Carrie annoying Florence after discovering?,-58.38302230834961,-63.52883529663086,5.14581298828125,True
gpt2,clm,151,island_effects,adjunct_island,What will Adam tour without criticizing this college campus?,What will Adam tour this college campus without criticizing?,-64.30996704101562,-62.74883270263672,-1.5611343383789062,False
gpt2,clm,152,island_effects,adjunct_island,Who did Steve observe while irritating Ella?,Who did Steve observe Ella while irritating?,-57.81847381591797,-67.53810119628906,9.719627380371094,True
gpt2,clm,153,island_effects,adjunct_island,What were the Clintons climbing up after noticing most hills?,What were the Clintons climbing up most hills after noticing?,-74.52630615234375,-70.08380126953125,-4.4425048828125,False
gpt2,clm,154,island_effects,adjunct_island,What has James broken before cleaning those couches?,What has James broken those couches before cleaning?,-59.952030181884766,-64.736572265625,4.784542083740234,True
gpt2,clm,155,island_effects,adjunct_island,Who can Bradley appreciate after concealing the Clintons?,Who can Bradley appreciate the Clintons after concealing?,-62.649051666259766,-65.86768341064453,3.2186317443847656,True
gpt2,clm,156,island_effects,adjunct_island,Who has the cashier fired without disturbing Bruce?,Who has the cashier fired Bruce without disturbing?,-60.29179000854492,-66.62446594238281,6.332675933837891,True
gpt2,clm,157,island_effects,adjunct_island,What has Heather skated around after going to that mountain?,What has Heather skated around that mountain after going to?,-63.14466094970703,-67.97822570800781,4.833564758300781,True
gpt2,clm,158,island_effects,adjunct_island,Who have these turtles astounded without impressing Naomi?,Who have these turtles astounded Naomi without impressing?,-70.82453155517578,-72.5478744506836,1.7233428955078125,True
