BLIMP Evaluation Results (Ollama)

Comparative Summary
Model,Accuracy,Correct,Total,Avg Time/Pair (s)
mistral:latest,100.00%,18,18,6.13
phi3.5:latest,94.44%,17,18,6.56
llama3.1:8b,77.78%,14,18,14.97
qwen2.5:7b,94.44%,17,18,1.96
gpt2,88.89%,16,18,0.13
roberta-base,22.22%,4,18,0.16

Pair-wise Results
Model,Pair ID,Category,Phenomenon,Good Sentence,Bad Sentence,Good Score,Bad Score,Score Difference,Correct,Time Taken
phi3.5:latest,6,default,N/A,I eat biscuit with tea,I eat plate with tea,7.0000,0.0000,7.0000,✓,9.1007
phi3.5:latest,7,default,N/A,I ordered a cycle,I ordered a mountain,7.0000,0.0000,7.0000,✓,6.6767
phi3.5:latest,8,default,N/A,I gave him a button,I gave him a bridge,9.0000,2.0000,7.0000,✓,6.5756
phi3.5:latest,9,default,N/A,I ate a tablet,I ate an iPad,0.0000,0.0000,0.0000,✗,4.5919
phi3.5:latest,10,default,N/A,He and I drank coffee together,He and I drank stones together,10.0000,0.0000,10.0000,✓,4.4934
phi3.5:latest,11,default,N/A,He has 10 lakh rupees in his bank,He has 10 lakh cars in his bank,9.0000,0.0000,9.0000,✓,7.9258
phi3.5:latest,12,default,N/A,He has a calculator in his pocket,He has a statue in his pocket,7.0000,0.0000,7.0000,✓,6.3340
phi3.5:latest,13,default,N/A,She read the book,She drank the book,10.0000,0.0000,10.0000,✓,5.5379
phi3.5:latest,14,default,N/A,He painted the wall,He painted the time,10.0000,0.0000,10.0000,✓,5.5123
phi3.5:latest,15,default,N/A,She drinks water every day,She drinks furniture every day,10.0000,0.0000,10.0000,✓,4.7822
phi3.5:latest,16,default,N/A,I answered the question,I answered the skyscraper,10.0000,0.0000,10.0000,✓,5.5299
phi3.5:latest,17,default,N/A,She picked up a pen,She picked up the sky,10.0000,0.0000,10.0000,✓,4.7925
phi3.5:latest,18,default,N/A,He poured a juice,He poured a tree,9.0000,0.0000,9.0000,✓,8.2241
llama3.1:8b,1,default,N/A,I gave John the button.,I gave John the wall.,7.0000,7.0000,0.0000,✗,35.4634
llama3.1:8b,2,default,N/A,She ate the apple.,She ate the computer.,8.0000,7.0000,1.0000,✓,10.3232
llama3.1:8b,3,default,N/A,He put the key in his pocket.,He put the house in his pocket.,8.0000,7.0000,1.0000,✓,13.3682
llama3.1:8b,4,default,N/A,I used to play chess,I used to play pills,8.0000,7.0000,1.0000,✓,12.2825
llama3.1:8b,5,default,N/A,I handed over a book to him,I handed over a wall to him,8.0000,7.0000,1.0000,✓,11.9157
llama3.1:8b,6,default,N/A,I eat biscuit with tea,I eat plate with tea,7.0000,7.0000,0.0000,✗,12.8172
llama3.1:8b,7,default,N/A,I ordered a cycle,I ordered a mountain,8.0000,7.0000,1.0000,✓,14.1856
llama3.1:8b,8,default,N/A,I gave him a button,I gave him a bridge,7.0000,7.0000,0.0000,✗,11.5200
llama3.1:8b,9,default,N/A,I ate a tablet,I ate an iPad,7.0000,7.0000,0.0000,✗,17.6297
llama3.1:8b,10,default,N/A,He and I drank coffee together,He and I drank stones together,8.0000,7.0000,1.0000,✓,21.5876
llama3.1:8b,11,default,N/A,He has 10 lakh rupees in his bank,He has 10 lakh cars in his bank,9.0000,2.0000,7.0000,✓,24.9995
llama3.1:8b,12,default,N/A,He has a calculator in his pocket,He has a statue in his pocket,8.0000,7.0000,1.0000,✓,13.4190
llama3.1:8b,13,default,N/A,She read the book,She drank the book,8.0000,2.0000,6.0000,✓,9.6956
llama3.1:8b,14,default,N/A,He painted the wall,He painted the time,8.0000,2.0000,6.0000,✓,10.7397
llama3.1:8b,15,default,N/A,She drinks water every day,She drinks furniture every day,8.0000,6.0000,2.0000,✓,8.1273
llama3.1:8b,16,default,N/A,I answered the question,I answered the skyscraper,8.0000,7.0000,1.0000,✓,13.2594
llama3.1:8b,17,default,N/A,She picked up a pen,She picked up the sky,8.0000,7.0000,1.0000,✓,9.6591
llama3.1:8b,18,default,N/A,He poured a juice,He poured a tree,7.0000,2.0000,5.0000,✓,18.5489
qwen2.5:7b,1,default,N/A,I gave John the button.,I gave John the wall.,10.0000,10.0000,0.0000,✗,22.6621
qwen2.5:7b,2,default,N/A,She ate the apple.,She ate the computer.,10.0000,3.0000,7.0000,✓,0.7502
qwen2.5:7b,3,default,N/A,He put the key in his pocket.,He put the house in his pocket.,10.0000,6.0000,4.0000,✓,0.7667
qwen2.5:7b,4,default,N/A,I used to play chess,I used to play pills,10.0000,3.0000,7.0000,✓,0.7586
qwen2.5:7b,5,default,N/A,I handed over a book to him,I handed over a wall to him,10.0000,3.0000,7.0000,✓,0.7393
qwen2.5:7b,6,default,N/A,I eat biscuit with tea,I eat plate with tea,8.0000,3.0000,5.0000,✓,0.6831
qwen2.5:7b,7,default,N/A,I ordered a cycle,I ordered a mountain,8.0000,5.0000,3.0000,✓,0.6769
qwen2.5:7b,8,default,N/A,I gave him a button,I gave him a bridge,10.0000,5.0000,5.0000,✓,0.7395
qwen2.5:7b,9,default,N/A,I ate a tablet,I ate an iPad,8.0000,3.0000,5.0000,✓,0.6758
qwen2.5:7b,10,default,N/A,He and I drank coffee together,He and I drank stones together,10.0000,2.0000,8.0000,✓,0.8255
qwen2.5:7b,11,default,N/A,He has 10 lakh rupees in his bank,He has 10 lakh cars in his bank,10.0000,3.0000,7.0000,✓,0.8592
qwen2.5:7b,12,default,N/A,He has a calculator in his pocket,He has a statue in his pocket,10.0000,8.0000,2.0000,✓,0.7352
qwen2.5:7b,13,default,N/A,She read the book,She drank the book,10.0000,2.0000,8.0000,✓,0.7336
qwen2.5:7b,14,default,N/A,He painted the wall,He painted the time,10.0000,3.0000,7.0000,✓,0.7334
qwen2.5:7b,15,default,N/A,She drinks water every day,She drinks furniture every day,10.0000,3.0000,7.0000,✓,0.7451
qwen2.5:7b,16,default,N/A,I answered the question,I answered the skyscraper,10.0000,2.0000,8.0000,✓,0.7380
qwen2.5:7b,17,default,N/A,She picked up a pen,She picked up the sky,10.0000,3.0000,7.0000,✓,0.8516
qwen2.5:7b,18,default,N/A,He poured a juice,He poured a tree,4.0000,3.0000,1.0000,✓,0.6807
gpt2,1,default,N/A,I gave John the button.,I gave John the wall.,4.2233,4.1625,0.0608,✓,1.3778
gpt2,2,default,N/A,She ate the apple.,She ate the computer.,4.9783,3.8834,1.0949,✓,0.0608
gpt2,3,default,N/A,He put the key in his pocket.,He put the house in his pocket.,6.9239,6.0302,0.8937,✓,0.0571
gpt2,4,default,N/A,I used to play chess,I used to play pills,5.8714,4.0053,1.8661,✓,0.0536
gpt2,5,default,N/A,I handed over a book to him,I handed over a wall to him,5.9432,4.8206,1.1225,✓,0.0541
gpt2,6,default,N/A,I eat biscuit with tea,I eat plate with tea,4.1149,2.4693,1.6456,✓,0.0537
gpt2,7,default,N/A,I ordered a cycle,I ordered a mountain,2.5478,3.1678,-0.6200,✗,0.0523
gpt2,8,default,N/A,I gave him a button,I gave him a bridge,4.9086,4.6332,0.2754,✓,0.0528
gpt2,9,default,N/A,I ate a tablet,I ate an iPad,2.9379,2.9491,-0.0112,✗,0.0523
gpt2,10,default,N/A,He and I drank coffee together,He and I drank stones together,5.9971,3.8675,2.1296,✓,0.0535
gpt2,11,default,N/A,He has 10 lakh rupees in his bank,He has 10 lakh cars in his bank,6.3536,4.6370,1.7166,✓,0.0555
gpt2,12,default,N/A,He has a calculator in his pocket,He has a statue in his pocket,6.2003,5.9495,0.2508,✓,0.0535
gpt2,13,default,N/A,She read the book,She drank the book,5.8534,2.8133,3.0401,✓,0.0537
gpt2,14,default,N/A,He painted the wall,He painted the time,4.0884,3.2126,0.8758,✓,0.0523
gpt2,15,default,N/A,She drinks water every day,She drinks furniture every day,4.6430,2.4583,2.1847,✓,0.0524
gpt2,16,default,N/A,I answered the question,I answered the skyscraper,5.7271,3.3930,2.3341,✓,0.0527
gpt2,17,default,N/A,She picked up a pen,She picked up the sky,5.9245,4.8617,1.0628,✓,0.0525
gpt2,18,default,N/A,He poured a juice,He poured a tree,2.7306,2.5361,0.1945,✓,0.0524
roberta-base,1,default,N/A,I gave John the button.,I gave John the wall.,0.0000,0.0000,0.0000,✗,1.3168
roberta-base,2,default,N/A,She ate the apple.,She ate the computer.,0.0000,0.0000,0.0000,✗,0.0806
roberta-base,3,default,N/A,He put the key in his pocket.,He put the house in his pocket.,3.8372,0.5023,3.3349,✓,0.0901
roberta-base,4,default,N/A,I used to play chess,I used to play pills,0.0000,0.0000,0.0000,✗,0.0810
roberta-base,5,default,N/A,I handed over a book to him,I handed over a wall to him,3.1154,1.1277,1.9877,✓,0.0875
roberta-base,6,default,N/A,I eat biscuit with tea,I eat plate with tea,0.0000,0.0000,0.0000,✗,0.0988
roberta-base,7,default,N/A,I ordered a cycle,I ordered a mountain,0.0000,0.0000,0.0000,✗,0.0968
roberta-base,8,default,N/A,I gave him a button,I gave him a bridge,0.0000,0.0000,0.0000,✗,0.0857
roberta-base,9,default,N/A,I ate a tablet,I ate an iPad,0.0000,0.0000,0.0000,✗,0.0901
roberta-base,10,default,N/A,He and I drank coffee together,He and I drank stones together,0.0000,0.0000,0.0000,✗,0.0968
roberta-base,11,default,N/A,He has 10 lakh rupees in his bank,He has 10 lakh cars in his bank,3.0815,0.0000,3.0815,✓,0.1508
roberta-base,12,default,N/A,He has a calculator in his pocket,He has a statue in his pocket,2.1578,0.6804,1.4774,✓,0.0956
roberta-base,13,default,N/A,She read the book,She drank the book,0.0000,0.0000,0.0000,✗,0.0919
roberta-base,14,default,N/A,He painted the wall,He painted the time,0.0000,0.0000,0.0000,✗,0.0921
roberta-base,15,default,N/A,She drinks water every day,She drinks furniture every day,0.0000,0.0000,0.0000,✗,0.0887
roberta-base,16,default,N/A,I answered the question,I answered the skyscraper,0.0000,0.0000,0.0000,✗,0.0904
roberta-base,17,default,N/A,She picked up a pen,She picked up the sky,0.0000,0.0000,0.0000,✗,0.0886
roberta-base,18,default,N/A,He poured a juice,He poured a tree,0.0000,0.0000,0.0000,✗,0.0922
