Sentence,Word Count,GPT-2 Log Prob,GPT-2 Normalized,GPT-2 Rank,BERT Log Prob,BERT Normalized,BERT Rank
The painting screamed loudly.,4,-31.4403,-7.8601,189,-42.8085,-10.7021,206
The statue danced gracefully.,4,-34.3363,-8.5841,203,-42.9802,-10.7451,207
The vase sang beautifully.,4,-33.5918,-8.3980,200,-40.8480,-10.2120,202
The clock laughed heartily.,4,-28.9538,-7.2384,167,-45.4708,-11.3677,215
The mirror cried sadly.,4,-32.4018,-8.1004,195,-39.1622,-9.7906,190
The knife smiled warmly.,4,-29.6387,-7.4097,171,-38.6154,-9.6538,185
The idea ate the computer.,5,-34.7183,-6.9437,146,-37.4422,-7.4884,82
The theory drove to happiness.,5,-38.2486,-7.6497,182,-43.9414,-8.7883,165
The concept walked down the street.,6,-33.2892,-5.5482,76,-40.7386,-6.7898,50
Democracy punched the wall.,4,-33.0347,-8.2587,199,-31.5273,-7.8818,105
Freedom kicked the door.,4,-23.9631,-5.9908,98,-33.3134,-8.3283,138
Justice threw a ball.,4,-25.4321,-6.3580,120,-32.1937,-8.0484,115
Love drank some water.,4,-22.5245,-5.6311,81,-33.0026,-8.2506,130
Hope cooked dinner.,3,-21.1861,-7.0620,154,-33.6615,-11.2205,213
Fear painted the house.,4,-22.6894,-5.6723,83,-33.6330,-8.4082,141
Anger built a bridge.,4,-27.0331,-6.7583,139,-32.2706,-8.0676,117
Joy lifted weights.,3,-23.0428,-7.6809,183,-32.4809,-10.8270,209
Sadness ran a marathon.,4,-29.8558,-7.4640,172,-35.9650,-8.9912,173
Courage swam in the pool.,5,-33.3317,-6.6663,133,-33.3464,-6.6693,45
Wisdom climbed the mountain.,4,-32.5258,-8.1314,197,-29.2470,-7.3117,66
Knowledge rode a bicycle.,4,-35.0358,-8.7589,208,-34.0724,-8.5181,147
Truth drove a car.,4,-24.3041,-6.0760,102,-29.3735,-7.3434,69
Beauty wore a hat.,4,-26.7686,-6.6921,135,-31.1648,-7.7912,97
Honesty ate breakfast.,3,-30.6249,-10.2083,218,-34.9309,-11.6436,218
Patience drank coffee.,3,-30.3321,-10.1107,217,-34.7113,-11.5704,217
Kindness walked the dog.,4,-28.8958,-7.2240,164,-32.0400,-8.0100,113
He listened to the color red.,6,-30.7390,-5.1232,55,-34.0974,-5.6829,15
She tasted the sound of music.,6,-28.9525,-4.8254,41,-37.3632,-6.2272,34
They smelled the feeling of joy.,6,-33.6999,-5.6166,79,-43.0970,-7.1828,60
I heard the taste of chocolate.,6,-28.6429,-4.7738,39,-34.2425,-5.7071,16
She saw the smell of roses.,6,-26.4557,-4.4093,22,-38.0389,-6.3398,37
He touched the sound of thunder.,6,-27.6921,-4.6153,33,-35.4366,-5.9061,22
They felt the color blue.,5,-27.5208,-5.5042,74,-37.1621,-7.4324,75
I smelled the texture of silk.,6,-32.7164,-5.4527,70,-37.7648,-6.2941,36
She tasted the brightness of light.,6,-29.4132,-4.9022,45,-40.1364,-6.6894,47
He heard the softness of cotton.,6,-34.1124,-5.6854,84,-36.2173,-6.0362,25
They saw the loudness of the concert.,7,-33.4660,-4.7809,40,-41.5498,-5.9357,23
I listened to the temperature.,5,-26.1470,-5.2294,62,-34.0957,-6.8191,51
She smelled the silence.,4,-24.9832,-6.2458,116,-32.4629,-8.1157,120
He tasted the darkness.,4,-22.8585,-5.7146,86,-29.7722,-7.4431,78
They touched the echo.,4,-26.2979,-6.5745,131,-35.0004,-8.7501,163
I heard the flavor.,4,-23.6345,-5.9086,95,-32.0029,-8.0007,111
She saw the aroma.,4,-23.2789,-5.8197,89,-31.9006,-7.9751,108
He felt the melody.,4,-24.7587,-6.1897,108,-28.9488,-7.2372,65
They tasted the shadow.,4,-24.8125,-6.2031,111,-32.2021,-8.0505,116
I smelled the rhythm.,4,-27.0647,-6.7662,140,-32.9094,-8.2274,129
Colorless green ideas sleep furiously.,5,-52.5968,-10.5194,220,-62.8235,-12.5647,219
The gostak distims the doshes.,5,-66.9669,-13.3934,225,-79.6848,-15.9370,226
Furiously sleep ideas green colorless.,5,-67.1292,-13.4258,226,-66.8455,-13.3691,223
Ideas colorless green furiously sleep.,5,-56.7752,-11.3550,223,-65.8645,-13.1729,222
Green sleep furiously ideas colorless.,5,-59.4474,-11.8895,224,-63.1693,-12.6339,220
Sleep ideas green colorless furiously.,5,-51.6451,-10.3290,219,-68.1626,-13.6325,224
Yesterday will happen tomorrow.,4,-17.6259,-4.4065,21,-31.2177,-7.8044,99
Tomorrow happened yesterday.,3,-15.4520,-5.1507,56,-29.9649,-9.9883,198
The future occurred in the past.,6,-29.9740,-4.9957,49,-33.9215,-5.6536,14
He remembered things that haven't happened.,6,-32.7605,-5.4601,71,-41.2677,-6.8779,53
She forgot events that will occur.,6,-37.7140,-6.2857,118,-40.4520,-6.7420,49
They predicted yesterday.,3,-22.5262,-7.5087,176,-31.6637,-10.5546,205
I foresaw the past.,4,-22.8148,-5.7037,85,-43.0482,-10.7620,208
She recalled the future.,4,-23.4549,-5.8637,91,-29.3630,-7.3407,68
He anticipated the history.,4,-26.2252,-6.5563,129,-35.0802,-8.7700,164
They prophesied ancient times.,4,-28.2949,-7.0737,155,-54.9366,-13.7342,225
The ice melted the fire.,5,-30.9304,-6.1861,107,-41.6065,-8.3213,136
The water burned the match.,5,-33.5107,-6.7021,136,-38.4874,-7.6975,91
The light dimmed the darkness.,5,-28.6861,-5.7372,87,-45.6370,-9.1274,176
The cold heated the stove.,5,-29.6215,-5.9243,96,-47.3885,-9.4777,182
The silence made loud noises.,5,-30.5672,-6.1134,103,-41.8613,-8.3723,140
The softness hardened the rock.,5,-38.0998,-7.6200,179,-46.6348,-9.3270,180
The emptiness filled the container.,5,-31.1350,-6.2270,112,-42.8842,-8.5768,151
The weakness strengthened the steel.,5,-39.0355,-7.8071,188,-46.2201,-9.2440,179
The sickness healed the medicine.,5,-36.9175,-7.3835,170,-42.0911,-8.4182,142
The ignorance educated the teacher.,5,-38.7695,-7.7539,187,-45.9172,-9.1834,177
Time flies when you're having fun.,6,-29.3396,-4.8899,44,-39.8143,-6.6357,43
She broke his heart.,4,-18.4579,-4.6145,32,-31.3917,-7.8479,104
He lost his mind.,4,-15.5017,-3.8754,9,-33.7211,-8.4303,144
They killed time at the cafe.,6,-32.0910,-5.3485,67,-40.3222,-6.7204,48
I caught her eye across the room.,7,-30.6825,-4.3832,20,-41.7222,-5.9603,24
She threw away the opportunity.,5,-25.1069,-5.0214,51,-30.5223,-6.1045,28
He burned his bridges.,4,-22.5583,-5.6396,82,-39.6021,-9.9005,195
They buried the hatchet.,4,-21.3227,-5.3307,65,-40.6269,-10.1567,201
I spilled the beans about the surprise.,7,-31.9837,-4.5691,29,-42.8828,-6.1261,29
She hit the nail on the head.,7,-15.5889,-2.2270,2,-38.1650,-5.4521,8
He kicked the bucket.,4,-18.2107,-4.5527,28,-34.7047,-8.6762,156
They let the cat out of the bag.,8,-20.1599,-2.5200,3,-35.5012,-4.4376,3
I bit off more than I could chew.,8,-16.4908,-2.0614,1,-39.7649,-4.9706,4
She jumped the gun.,4,-19.5498,-4.8874,43,-32.3287,-8.0822,118
He pulled her leg.,4,-22.1878,-5.5469,75,-30.5525,-7.6381,88
The philosopher stone exists nowhere.,5,-44.1870,-8.8374,210,-49.4203,-9.8841,194
Unicorns inhabit mythical forests.,4,-38.4758,-9.6189,215,-51.3584,-12.8396,221
Dragons breathe fire in legends.,5,-40.2496,-8.0499,194,-44.9243,-8.9849,172
Mermaids swim in fairy tales.,5,-38.6695,-7.7339,186,-38.0468,-7.6094,87
Ghosts haunt old castles supposedly.,5,-42.9806,-8.5961,204,-57.8485,-11.5697,216
Aliens visit earth in stories.,5,-43.6142,-8.7228,207,-42.8881,-8.5776,152
Time travelers journey through centuries.,5,-38.1674,-7.6335,181,-43.7087,-8.7417,162
Superheroes save cities in comics.,5,-38.4519,-7.6904,184,-54.1737,-10.8347,210
Wizards cast spells in novels.,5,-43.0310,-8.6062,205,-39.5960,-7.9192,106
Vampires avoid sunlight traditionally.,4,-45.0748,-11.2687,222,-43.8166,-10.9541,211
