BLIMP Evaluation Results (Ollama)
Model,llama3.1:8b
Overall Accuracy,96.00%
Correct,48
Total,50

Category Summary
Category,Accuracy,Correct,Total
ARG_STRUCTURE,100.00%,24,24
SELECTIONAL_PREFERENCE,92.31%,24,26

Pair-wise Results
Pair ID,Category,Phenomenon,Good Sentence,Bad Sentence,Good Score,Bad Score,Score Difference,Correct
27,SELECTIONAL_PREFERENCE,literal_planting,She planted the seeds.,She planted the ideas.,2.0000,1.5000,0.5000,✓
28,SELECTIONAL_PREFERENCE,physical_catching,He caught the fish.,He caught the concept.,2.0000,1.5000,0.5000,✓
29,ARG_STRUCTURE,force_direction,The wind blew the leaves.,The leaves blew the wind.,2.0000,-1.5000,3.5000,✓
30,SELECTIONAL_PREFERENCE,physical_closure,She closed the window.,She closed the freedom.,2.0000,-1.5000,3.5000,✓
31,SELECTIONAL_PREFERENCE,measurable_quantity,He measured the distance.,He measured the happiness.,2.0000,-1.5000,3.5000,✓
32,ARG_STRUCTURE,discovery_direction,The scientist discovered a cure.,The cure discovered a scientist.,2.0000,-1.5000,3.5000,✓
33,SELECTIONAL_PREFERENCE,pourability,She poured the juice.,She poured the solid.,2.0000,1.5000,0.5000,✓
34,ARG_STRUCTURE,vehicle_control,He drove the car.,The car drove him.,2.0000,-1.5000,3.5000,✓
35,ARG_STRUCTURE,thermal_causation,The sun melted the ice.,The ice melted the sun.,2.0000,-1.5000,3.5000,✓
36,SELECTIONAL_PREFERENCE,washability,She washed the dishes.,She washed the thoughts.,2.0000,-1.5000,3.5000,✓
37,ARG_STRUCTURE,problem_solver,He solved the puzzle.,The puzzle solved him.,2.0000,-1.5000,3.5000,✓
38,ARG_STRUCTURE,professional_role,The doctor examined the patient.,The patient examined the doctor.,2.0000,-1.5000,3.5000,✓
39,SELECTIONAL_PREFERENCE,physical_cutting,She cut the bread.,She cut the silence.,2.0000,2.0000,0.0000,✗
40,ARG_STRUCTURE,construction_agent,He built the house.,The house built him.,2.0000,1.5000,0.5000,✓
41,ARG_STRUCTURE,wetting_direction,The rain wet the ground.,The ground wet the rain.,1.5000,-1.5000,3.0000,✓
42,ARG_STRUCTURE,cognitive_agent,She memorized the poem.,The poem memorized her.,2.0000,-1.5000,3.5000,✓
43,SELECTIONAL_PREFERENCE,lockability,He locked the door.,He locked the freedom.,2.0000,-1.5000,3.5000,✓
44,ARG_STRUCTURE,evaluation_direction,The teacher graded the tests.,The tests graded the teacher.,2.0000,-1.5000,3.5000,✓
45,SELECTIONAL_PREFERENCE,groomability,She combed her hair.,She combed her thoughts.,2.0000,-1.5000,3.5000,✓
46,SELECTIONAL_PREFERENCE,physical_lifting,He lifted the box.,He lifted the sadness.,2.0000,1.5000,0.5000,✓
47,ARG_STRUCTURE,combustion_direction,The fire burned the wood.,The wood burned the fire.,2.0000,-1.5000,3.5000,✓
48,ARG_STRUCTURE,text_creation,She typed the letter.,The letter typed her.,2.0000,-1.5000,3.5000,✓
49,SELECTIONAL_PREFERENCE,sharpenability,He sharpened the knife.,He sharpened the water.,2.0000,-1.5000,3.5000,✓
50,ARG_STRUCTURE,harvesting_agent,The farmer harvested the crops.,The crops harvested the farmer.,2.0000,-1.5000,3.5000,✓
