Rank,Sentence,Log Probability,Normalized Score,Word Count
140,I smelled the rhythm.,-27.0647,-6.7662,4
141,They debated philosophical questions.,-27.3114,-6.8278,4
142,The dance danced the dancers.,-34.1678,-6.8336,5
143,He wrote the cloud.,-27.3414,-6.8353,4
144,I pocketed the universe.,-27.4033,-6.8508,4
145,The lesson taught the teacher.,-34.6627,-6.9325,5
146,The idea ate the computer.,-34.7183,-6.9437,5
147,I compressed the river.,-27.8262,-6.9566,4
148,They folded the continent.,-27.8979,-6.9745,4
149,I threw the wisdom.,-27.8987,-6.9747,4
150,The table ran quickly.,-27.9715,-6.9929,4
151,The poem wrote the poet.,-35.0964,-7.0193,5
152,She washed the thought.,-28.1306,-7.0326,4
153,They carried the mathematics.,-28.1365,-7.0341,4
154,Hope cooked dinner.,-21.1861,-7.0620,3
155,They prophesied ancient times.,-28.2949,-7.0737,4
156,I cleaned the idea.,-28.3198,-7.0800,4
157,The painting painted the artist.,-35.6395,-7.1279,5
158,The song sang the singer.,-35.7133,-7.1427,5
159,He bought the sadness.,-28.7247,-7.1812,4
160,The book read the student.,-35.9243,-7.1849,5
161,They sang the building.,-28.7623,-7.1906,4
162,The owl hooted at night.,-35.9806,-7.1961,5
163,The picture drew the photographer.,-36.1073,-7.2215,5
164,Kindness walked the dog.,-28.8958,-7.2240,4
165,They shrank the volcano.,-28.9099,-7.2275,4
166,The rock cried loudly.,-28.9363,-7.2341,4
167,The clock laughed heartily.,-28.9538,-7.2384,4
168,The symphony conducted the conductor.,-36.3204,-7.2641,5
169,He lifted the philosophy.,-29.3507,-7.3377,4
170,The sickness healed the medicine.,-36.9175,-7.3835,5
171,The knife smiled warmly.,-29.6387,-7.4097,4
172,Sadness ran a marathon.,-29.8558,-7.4640,4
173,The house built the carpenter.,-37.3346,-7.4669,5
174,She wore the skyscraper.,-29.9414,-7.4853,4
175,The meal cooked the chef.,-37.4296,-7.4859,5
176,They predicted yesterday.,-22.5262,-7.5087,3
177,He mailed the castle.,-30.2942,-7.5736,4
178,I painted the democracy.,-30.3521,-7.5880,4
179,The softness hardened the rock.,-38.0998,-7.6200,5
180,They fixed the justice.,-30.5122,-7.6281,4
181,Time travelers journey through centuries.,-38.1674,-7.6335,5
182,The theory drove to happiness.,-38.2486,-7.6497,5
183,Joy lifted weights.,-23.0428,-7.6809,3
184,Superheroes save cities in comics.,-38.4519,-7.6904,5
185,She drove the happiness.,-30.7811,-7.6953,4
186,Mermaids swim in fairy tales.,-38.6695,-7.7339,5
187,The ignorance educated the teacher.,-38.7695,-7.7539,5
188,The weakness strengthened the steel.,-39.0355,-7.8071,5
189,The painting screamed loudly.,-31.4403,-7.8601,4
190,The stone thought deeply.,-31.7655,-7.9414,4
191,The experiment performed the scientist.,-39.7158,-7.9432,5
192,The squirrel gathered nuts for winter.,-47.7278,-7.9546,6
193,The wall remembered clearly.,-31.9113,-7.9778,4
194,Dragons breathe fire in legends.,-40.2496,-8.0499,5
195,The mirror cried sadly.,-32.4018,-8.1004,4
196,The sculpture carved the sculptor.,-40.5409,-8.1082,5
197,Wisdom climbed the mountain.,-32.5258,-8.1314,4
198,The play acted the performers.,-40.6918,-8.1384,5
199,Democracy punched the wall.,-33.0347,-8.2587,4
200,The vase sang beautifully.,-33.5918,-8.3980,4
201,The book worried constantly.,-33.9969,-8.4992,4
202,The floor forgot easily.,-34.2597,-8.5649,4
203,The statue danced gracefully.,-34.3363,-8.5841,4
204,Ghosts haunt old castles supposedly.,-42.9806,-8.5961,5
205,Wizards cast spells in novels.,-43.0310,-8.6062,5
206,The pen feared greatly.,-34.6099,-8.6525,4
207,Aliens visit earth in stories.,-43.6142,-8.7228,5
208,Knowledge rode a bicycle.,-35.0358,-8.7589,4
209,The chair dreamed vividly.,-35.3105,-8.8276,4
210,The philosopher stone exists nowhere.,-44.1870,-8.8374,5
211,The carpet hated intensely.,-36.0001,-9.0000,4
212,The door desired strongly.,-36.2155,-9.0539,4
213,The ceiling loved deeply.,-36.7333,-9.1833,4
214,The window believed firmly.,-37.0074,-9.2519,4
215,Unicorns inhabit mythical forests.,-38.4758,-9.6189,4
216,The curtain wished silently.,-39.6021,-9.9005,4
217,Patience drank coffee.,-30.3321,-10.1107,3
218,Honesty ate breakfast.,-30.6249,-10.2083,3
219,Sleep ideas green colorless furiously.,-51.6451,-10.3290,5
220,Colorless green ideas sleep furiously.,-52.5968,-10.5194,5
221,The lamp hoped sincerely.,-42.5634,-10.6408,4
222,Vampires avoid sunlight traditionally.,-45.0748,-11.2687,4
223,Ideas colorless green furiously sleep.,-56.7752,-11.3550,5
224,Green sleep furiously ideas colorless.,-59.4474,-11.8895,5
225,The gostak distims the doshes.,-66.9669,-13.3934,5
226,Furiously sleep ideas green colorless.,-67.1292,-13.4258,5
