BLIMP Evaluation Results
Model,gpt2
Overall Accuracy,100.00%
Correct,50
Total,50

Category Summary
Category,Accuracy,Correct,Total
ARG_STRUCTURE,100.00%,24,24
SELECTIONAL_PREFERENCE,100.00%,26,26

Pair-wise Results
Pair ID,Category,Phenomenon,Good Sentence,Bad Sentence,Good Score,Bad Score,Score Difference,Correct
14,ARG_STRUCTURE,causative_direction,The chef cooked the meal.,The meal cooked the chef.,-28.7997,-37.4296,8.6299,✓
15,SELECTIONAL_PREFERENCE,information_object,She answered the question.,She answered the table.,-15.0188,-21.7964,6.7776,✓
16,SELECTIONAL_PREFERENCE,physical_breakability,He broke the glass.,He broke the hope.,-17.3844,-23.9577,6.5733,✓
17,ARG_STRUCTURE,animacy_subject_emotion,The baby cried loudly.,The rock cried loudly.,-24.2044,-28.9363,4.7319,✓
18,ARG_STRUCTURE,manipulability,She picked up the pen.,She picked up the sky.,-20.0862,-23.3565,3.2703,✓
19,SELECTIONAL_PREFERENCE,auditory_object,He listened to music.,He listened to color.,-19.8098,-28.4103,8.6005,✓
20,ARG_STRUCTURE,creation_reversal,The artist drew a picture.,The picture drew an artist.,-27.1837,-34.6785,7.4948,✓
21,SELECTIONAL_PREFERENCE,solid_object,She kicked the ball.,She kicked the air.,-19.4032,-20.1296,0.7264,✓
22,SELECTIONAL_PREFERENCE,olfactory_object,He smelled the flowers.,He smelled the mathematics.,-22.4560,-30.6304,8.1744,✓
23,ARG_STRUCTURE,instruction_direction,The teacher taught the lesson.,The lesson taught the teacher.,-25.5379,-34.6627,9.1248,✓
24,SELECTIONAL_PREFERENCE,foldability,She folded the paper.,She folded the water.,-19.7599,-27.0053,7.2454,✓
25,SELECTIONAL_PREFERENCE,physical_repair,He repaired the car.,He repaired the democracy.,-18.8848,-29.1250,10.2402,✓
26,ARG_STRUCTURE,agent_patient,The child played with toys.,The toys played with child.,-24.5735,-33.3707,8.7972,✓
27,SELECTIONAL_PREFERENCE,literal_planting,She planted the seeds.,She planted the ideas.,-18.8349,-28.3231,9.4882,✓
28,SELECTIONAL_PREFERENCE,physical_catching,He caught the fish.,He caught the concept.,-20.3161,-24.8729,4.5568,✓
29,ARG_STRUCTURE,force_direction,The wind blew the leaves.,The leaves blew the wind.,-25.4553,-29.1098,3.6545,✓
30,SELECTIONAL_PREFERENCE,physical_closure,She closed the window.,She closed the freedom.,-17.6080,-28.3558,10.7479,✓
31,SELECTIONAL_PREFERENCE,measurable_quantity,He measured the distance.,He measured the happiness.,-20.4731,-28.6086,8.1355,✓
32,ARG_STRUCTURE,discovery_direction,The scientist discovered a cure.,The cure discovered a scientist.,-29.5215,-42.4074,12.8860,✓
33,SELECTIONAL_PREFERENCE,pourability,She poured the juice.,She poured the solid.,-23.2031,-29.4341,6.2310,✓
34,ARG_STRUCTURE,vehicle_control,He drove the car.,The car drove him.,-16.7511,-27.8330,11.0820,✓
35,ARG_STRUCTURE,thermal_causation,The sun melted the ice.,The ice melted the sun.,-27.1998,-28.8288,1.6290,✓
36,SELECTIONAL_PREFERENCE,washability,She washed the dishes.,She washed the thoughts.,-18.8029,-29.0312,10.2283,✓
37,ARG_STRUCTURE,problem_solver,He solved the puzzle.,The puzzle solved him.,-17.1891,-27.7751,10.5860,✓
38,ARG_STRUCTURE,professional_role,The doctor examined the patient.,The patient examined the doctor.,-21.0119,-28.5521,7.5402,✓
39,SELECTIONAL_PREFERENCE,physical_cutting,She cut the bread.,She cut the silence.,-20.7281,-21.3590,0.6309,✓
40,ARG_STRUCTURE,construction_agent,He built the house.,The house built him.,-18.5059,-29.2711,10.7652,✓
41,ARG_STRUCTURE,wetting_direction,The rain wet the ground.,The ground wet the rain.,-26.3538,-31.6933,5.3395,✓
42,ARG_STRUCTURE,cognitive_agent,She memorized the poem.,The poem memorized her.,-21.8641,-33.8146,11.9505,✓
43,SELECTIONAL_PREFERENCE,lockability,He locked the door.,He locked the freedom.,-14.9480,-27.6396,12.6916,✓
44,ARG_STRUCTURE,evaluation_direction,The teacher graded the tests.,The tests graded the teacher.,-30.7570,-36.8690,6.1120,✓
45,SELECTIONAL_PREFERENCE,groomability,She combed her hair.,She combed her thoughts.,-17.8999,-23.1393,5.2394,✓
46,SELECTIONAL_PREFERENCE,physical_lifting,He lifted the box.,He lifted the sadness.,-21.2661,-28.3386,7.0725,✓
47,ARG_STRUCTURE,combustion_direction,The fire burned the wood.,The wood burned the fire.,-26.7505,-26.7996,0.0491,✓
48,ARG_STRUCTURE,text_creation,She typed the letter.,The letter typed her.,-21.5366,-32.3642,10.8276,✓
49,SELECTIONAL_PREFERENCE,sharpenability,He sharpened the knife.,He sharpened the water.,-17.6313,-24.1692,6.5379,✓
50,ARG_STRUCTURE,harvesting_agent,The farmer harvested the crops.,The crops harvested the farmer.,-28.9760,-36.4936,7.5176,✓
